grib_id,hrap_x,hrap_y
186631,545,167
186632,546,167
186633,547,167
186634,548,167
186635,549,167
186636,550,167
186637,551,167
186638,552,167
186639,553,167
186640,554,167
186641,555,167
186642,556,167
186643,557,167
186644,558,167
186645,559,167
186646,560,167
186647,561,167
186648,562,167
186649,563,167
186650,564,167
186651,565,167
186652,566,167
186653,567,167
186654,568,167
186655,569,167
186656,570,167
186657,571,167
186658,572,167
186659,573,167
186660,574,167
186661,575,167
186662,576,167
186663,577,167
186664,578,167
186665,579,167
186666,580,167
186667,581,167
187721,514,168
187722,515,168
187723,516,168
187724,517,168
187725,518,168
187726,519,168
187727,520,168
187728,521,168
187729,522,168
187730,523,168
187731,524,168
187732,525,168
187733,526,168
187734,527,168
187735,528,168
187736,529,168
187737,530,168
187738,531,168
187739,532,168
187740,533,168
187741,534,168
187742,535,168
187743,536,168
187744,537,168
187745,538,168
187746,539,168
187747,540,168
187748,541,168
187749,542,168
187750,543,168
187751,544,168
187752,545,168
187753,546,168
187754,547,168
187755,548,168
187756,549,168
187757,550,168
187758,551,168
187759,552,168
187760,553,168
187761,554,168
187762,555,168
187763,556,168
187764,557,168
187765,558,168
187766,559,168
187767,560,168
187768,561,168
187769,562,168
187770,563,168
187771,564,168
187772,565,168
187773,566,168
187774,567,168
187775,568,168
187776,569,168
187777,570,168
187778,571,168
187779,572,168
187780,573,168
187781,574,168
187782,575,168
187783,576,168
187784,577,168
187785,578,168
187786,579,168
187787,580,168
187788,581,168
188842,514,169
188843,515,169
188844,516,169
188845,517,169
188846,518,169
188849,521,169
188850,522,169
188851,523,169
188852,524,169
188853,525,169
188854,526,169
188855,527,169
188856,528,169
188857,529,169
188860,532,169
188861,533,169
188862,534,169
188863,535,169
188864,536,169
188865,537,169
188866,538,169
188867,539,169
188868,540,169
188869,541,169
188870,542,169
188871,543,169
188872,544,169
188873,545,169
188874,546,169
188875,547,169
188876,548,169
188877,549,169
188878,550,169
188879,551,169
188880,552,169
188881,553,169
188882,554,169
188883,555,169
188884,556,169
188885,557,169
188886,558,169
188887,559,169
188888,560,169
188889,561,169
188890,562,169
188891,563,169
188892,564,169
188893,565,169
188894,566,169
188895,567,169
188896,568,169
188897,569,169
188898,570,169
188899,571,169
188900,572,169
188901,573,169
188902,574,169
188903,575,169
188904,576,169
188905,577,169
188906,578,169
188907,579,169
188908,580,169
188909,581,169
189965,516,170
189981,532,170
189982,533,170
189983,534,170
189984,535,170
189985,536,170
189986,537,170
189987,538,170
189988,539,170
189989,540,170
189990,541,170
189991,542,170
189992,543,170
189993,544,170
189994,545,170
189995,546,170
189996,547,170
189997,548,170
189998,549,170
189999,550,170
190000,551,170
190001,552,170
190002,553,170
190003,554,170
190004,555,170
190005,556,170
190006,557,170
190007,558,170
190008,559,170
190009,560,170
190010,561,170
190011,562,170
190012,563,170
190013,564,170
190014,565,170
190015,566,170
190016,567,170
190017,568,170
190018,569,170
190019,570,170
190020,571,170
190021,572,170
190022,573,170
190023,574,170
190024,575,170
190025,576,170
190026,577,170
190027,578,170
190028,579,170
190029,580,170
190030,581,170
191103,533,171
191104,534,171
191105,535,171
191106,536,171
191107,537,171
191108,538,171
191109,539,171
191110,540,171
191111,541,171
191112,542,171
191113,543,171
191114,544,171
191115,545,171
191116,546,171
191117,547,171
191118,548,171
191119,549,171
191120,550,171
191121,551,171
191122,552,171
191123,553,171
191124,554,171
191125,555,171
191126,556,171
191127,557,171
191128,558,171
191129,559,171
191130,560,171
191131,561,171
191132,562,171
191133,563,171
191134,564,171
191135,565,171
191136,566,171
191137,567,171
191138,568,171
191139,569,171
191140,570,171
191141,571,171
191142,572,171
191143,573,171
191144,574,171
191145,575,171
191146,576,171
191147,577,171
191148,578,171
191149,579,171
191150,580,171
191151,581,171
192229,538,172
192230,539,172
192231,540,172
192232,541,172
192233,542,172
192234,543,172
192235,544,172
192236,545,172
192237,546,172
192238,547,172
192239,548,172
192240,549,172
192241,550,172
192242,551,172
192243,552,172
192244,553,172
192245,554,172
192246,555,172
192247,556,172
192248,557,172
192249,558,172
192250,559,172
192251,560,172
192252,561,172
192253,562,172
192254,563,172
192255,564,172
192256,565,172
192257,566,172
192258,567,172
192259,568,172
192260,569,172
192261,570,172
192262,571,172
192263,572,172
192264,573,172
192265,574,172
192266,575,172
192267,576,172
192268,577,172
192269,578,172
192270,579,172
192271,580,172
192272,581,172
193360,548,173
193361,549,173
193362,550,173
193364,552,173
193365,553,173
193366,554,173
193367,555,173
193368,556,173
193369,557,173
193370,558,173
193371,559,173
193372,560,173
193373,561,173
193374,562,173
193375,563,173
193376,564,173
193377,565,173
193378,566,173
193379,567,173
193380,568,173
193381,569,173
193382,570,173
193383,571,173
193384,572,173
193385,573,173
193386,574,173
193387,575,173
193388,576,173
193389,577,173
193390,578,173
